Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
QCL AFTER TIMESTEP,0,254,m01s00i254,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
PRESSURE AT THETA LEVELS AFTER TS,0,408,m01s00i408,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
TEMPERATURE ON THETA LEVELS,16,4,m01s16i004,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
GEOPOTENTIAL HEIGHT ON THETA LEVELS,16,201,m01s16i201 ,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
,,,,,,,,,,,
COSP: MASK FOR CALIPSO LOW-LEVEL CF,2,321,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: MASK FOR CALIPSO MID-LEVEL CF,2,322,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: MASK FOR CALIPSO HIGH-LEVEL CF,2,323,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: MASK FOR CALIPSO TOTAL CF,2,324,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP/MISR/MODIS CLOUD WEIGHTS,2,330,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP WEIGHTED CLOUD ALBEDO,2,331,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP WEIGHTED CLOUD TAU,2,332,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP WEIGHTED CLOUD TOP PRES.,2,333,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP TOTAL CLOUD AREA,2,334,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP ALL-SKY 10.5 MICRON Tb,2,335,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP CLEAR-SKY 10.5 MICRON Tb,2,336,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: ISCCP CTP-TAU HISTOGRAM,2,337,,Instant.,,T3HINST,DCOSP7x7,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO LOW-LEVEL CLOUD,2,344,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO MID-LEVEL CLOUD,2,345,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO HIGH-LEVEL CLOUD,2,346,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO TOTAL CLOUD FRACTION,2,347,,Instant.,,T3HINST,DIAG,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO CLOUD AREA 40 CSAT LVS,2,371,,Instant.,,T6HINST,DCOSP40H,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO CF 40 LVLS (LIQ),2,473,,Instant.,,T6HINST,DCOSP40H,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
